-1:0:[-29.248340343523132, 1.884477098541295e-15]
-1:1:[-34.87090237905095, 2.453696906990831e-15]
-1:2:[-35.74134224874456, 2.7300378909393938e-15]
-1:3:[-35.69384943618695, 2.7592545113196345e-15]
-1:4:[-35.85727611240836, 5.258870262564833e-15]
-1:5:[-35.955525505701594, 3.397184973348832e-15]
-1:6:[-35.904420346486134, 6.175825956610896e-15]
-1:7:[-36.341202250867575, 1.6445820980340202e-15]
-1:8:[-36.49184066896085, 4.374305136482775e-15]
-1:9:[-38.13585069092099, 3.467509571142779e-15]
-1:10:[-38.00506805285909, 2.4887615461368554e-15]
-1:11:[-37.07991456563962, 4.474426483318355e-15]
-1:12:[-31.72046164985755, 3.7033970768561715e-15]
-1:13:[-28.823965669553473, 1.7329956946496917e-15]
-1:14:[-25.644251718412473, 3.345537266129248e-15]
-1:15:[-18.66087367061155, 8.464597950556044e-16]
-1:16:[-12.016402673490044, 1.3561742355862102e-15]
-1:17:[-7.817071318776811, 4.3551717591796735e-16]
-1:18:[-7.730419721022918, 4.3205021092569795e-16]
-1:19:[-10.341878721265688, 4.196627968442727e-16]
-1:20:[-8.653996435188716, 8.47721963681276e-16]
-1:21:[-4.914980004704744, 3.5588367836961364e-16]
-1:22:[-9.272241035582848, 4.674600035882463e-16]
-1:23:[-6.862372264133032, 4.852553961702599e-16]
-1:24:[-0.3082417433399235, 1.9881911082095286e-17]
-1:25:[-0.6403391039480464, 8.00900352301115e-17]
-1:26:[-0.3449224246765144, 2.5112937174195705e-17]
-1:27:[0.33303577454995076, -1.4021063922648505e-18]
-1:28:[-7.549303826022466, 4.1686641387280164e-16]
-1:29:[-3.2992781858506683, 3.2476459753104536e-16]
-1:30:[-1.471772827819567, 9.947705855829066e-17]
-1:31:[4.0799236271803, -5.498187748020482e-16]
-1:32:[-0.20975325324935387, 1.5504728079818773e-17]
-1:33:[2.841709441854429, -1.2375917784943e-16]
-1:34:[3.275584251933321, -3.0643650768643943e-16]
-1:35:[3.5362134091202817, -2.4419323833191845e-16]
-1:36:[10.1545061806981, -6.361735101966261e-16]
-1:37:[15.952307105463401, -1.4284062915940482e-15]
-1:38:[22.910225730510614, -1.007262980777508e-15]
-1:39:[26.00238514474621, -1.1075088256083127e-15]
-1:40:[29.79496773976155, -2.7534185764003022e-15]
-1:41:[30.90145350793683, -1.692211862092981e-15]
-1:42:[35.61300521648493, -5.254238264107775e-15]
-1:43:[37.69240684153014, -5.26834587965576e-15]
-1:44:[43.42811212208086, -3.967733201727852e-15]
-1:45:[46.23054296430861, -1.4674221331031217e-15]
-1:46:[43.803698269739726, -1.537383530930096e-15]
-1:47:[47.41623207914606, -3.1974537923041436e-15]
-1:48:[41.1361926643873, -1.4226417450822852e-15]
-1:49:[39.84355792284811, -3.347359302396989e-15]
-1:50:[0.8031037036372326, -8.395172355207391e-17]
-1:51:[0.8876258680364666, -8.18949753433051e-17]
-1:52:[-5.144874987322778, 7.075933913700154e-16]
-1:53:[-6.247443931288566, 6.990200363908954e-16]
-1:54:[-18.786786487579253, 2.7101529226455002e-15]
-1:55:[-22.410278874371027, 1.5655049144468371e-15]
-1:56:[-24.441001009153926, 2.6565824188247174e-15]
-1:57:[-26.93657632526686, 1.81763652201271e-15]
-1:58:[-26.57237212430511, 1.984115572582651e-15]
-1:59:[-22.41359026972761, 2.624122900259016e-15]
-1:60:[-19.707242890318874, 1.2448684976531782e-15]
-1:61:[-21.178612271301535, 6.704239893579365e-16]
-1:62:[-26.202750884993616, 1.7391126050485058e-15]
-1:63:[-27.3048354701752, 1.891416711302577e-15]
-1:64:[-27.255007891702643, 3.3964448826788564e-15]
-1:65:[-21.147349817684983, 2.554171883906368e-15]
-1:66:[-14.457239009341242, 9.337007499687073e-16]
-1:67:[-8.102278180838342, 4.801722196187974e-16]
-1:68:[-8.435453333397644, 4.627312375922197e-16]
-1:69:[-4.5463162147402185, 3.1869410295397694e-16]
-1:70:[-0.8646714255914515, 5.687930512810744e-17]
-1:71:[5.985301760086026, -8.438145957627478e-16]
-1:72:[10.766306905305896, -4.677369099695612e-16]
-1:73:[10.639362002341066, -4.1989162056923346e-16]
-1:74:[10.084650959391734, -1.0861895530103442e-15]
-1:75:[14.885178556500827, -8.569214283534953e-16]
-1:76:[17.179455447838347, -1.3650966696518278e-15]
-1:77:[11.653598686628792, -9.103021028533748e-16]
-1:78:[12.107280825725168, -7.85584316920115e-16]
-1:79:[14.697523824043767, -1.2405314791405767e-15]
-1:80:[15.51287477040115, -1.2831991473429717e-15]
-1:81:[20.387730711011038, -1.7946093835670897e-15]
-1:82:[22.84555602244616, -1.843675073606502e-15]
-1:83:[16.930697742976264, -9.892578029477088e-16]
-1:84:[16.268770026863375, -1.8624961103763207e-15]
-1:85:[18.033592854273085, -8.376889304277654e-16]
-1:86:[14.57543896206308, -1.377048664680333e-15]
-1:87:[6.054879282160239, -6.60390952119776e-16]
-1:88:[-2.1407801698751348, 2.729619450554462e-16]
-1:89:[-8.328751132166555, 9.333207384527683e-16]
-1:90:[-12.738849806483344, 1.2663605172086788e-15]
-1:91:[-5.949259084339493, 4.553625910260105e-16]
-1:92:[-9.392261118597125, 1.130623015377732e-15]
-1:93:[-5.602089564775648, 7.022199864014414e-16]
-1:94:[-16.185596203125236, 8.074972651574487e-16]
-1:95:[-22.07663255905108, 1.7502076123843117e-15]
-1:96:[-21.605572023758988, 1.592943920746383e-15]
-1:97:[-17.245516826240344, 1.8331586951690827e-15]
-1:98:[-17.405486098002402, 1.3888641227070836e-15]
-1:99:[-17.55929361005872, 2.620399303042662e-15]
-1:100:[-15.913296192911199, 1.4140258231750661e-15]
-1:101:[-15.488090453529852, 8.325925827035705e-16]
-1:102:[-19.54307667173813, 1.6980184524652834e-15]
-1:103:[-12.763416973108852, 9.450937576235956e-16]
-1:104:[-5.91844296226847, 1.2826215975359401e-17]
-1:105:[-5.052178199775499, 3.0795762295794876e-16]
-1:106:[-9.219749103512523, 4.30453422299085e-16]
-1:107:[-14.799626822005667, 1.6689355764111758e-15]
-1:108:[-9.014583936543309, 1.0949628995340272e-15]
-1:109:[-14.130522421169351, 8.654061909607033e-16]
-1:110:[-17.523108609548938, 9.585159503444082e-16]
-1:111:[-13.004128068020004, 1.304085586925645e-15]
-1:112:[-18.311621560362486, 1.8064815474455925e-15]
-1:113:[-24.00289421748631, 9.986975425354468e-16]
-1:114:[-30.873260284873613, 2.8075020977708392e-15]
-1:115:[-31.148770979019996, 1.644392649888748e-15]
-1:116:[-27.276336735329, 1.86276274297766e-15]
-1:117:[-20.40894223576896, 1.318478579990936e-15]
-1:118:[-13.833595961739524, 9.324331977459825e-16]
-1:119:[-13.92282496621297, 8.530679726805664e-16]
-1:120:[-16.51818105111535, 1.264993223137422e-15]
-1:121:[-17.86634056009384, 1.7163857206647899e-15]
-1:122:[-20.347801501947345, 1.3985609638611876e-15]
-1:123:[-15.778998059380962, 1.8536513636157773e-15]
-1:124:[-14.835932224156776, 7.782123440100808e-16]
-1:125:[-12.532462338255511, 1.3175981536381842e-15]
-1:126:[-13.13513985004906, 1.2541203267787191e-15]
-1:127:[-9.053091481993764, 1.0719700912153157e-15]
-1:128:[-13.733081481744385, 1.265217605466672e-15]
-1:129:[-9.124619538590254, 1.0903134772558106e-15]
-1:130:[-5.645528442690229, 2.230843410768659e-16]
-1:131:[-8.728480015043447, 8.897923409396852e-16]
-1:132:[-6.384306197562981, 6.553179656164505e-16]
-1:133:[-10.812209698063088, 6.341250218614594e-17]
-1:134:[-11.934644419119287, 9.236619620847538e-16]
-1:135:[-16.252172484723744, 9.960610843808803e-16]
-1:136:[-15.234556278985933, 7.858997427893968e-16]
-1:137:[-12.379230563006184, 8.196171896178793e-16]
-1:138:[-14.078604096368204, 5.20237499389929e-16]
-1:139:[-11.118694417103878, 1.3161537126852975e-15]
-1:140:[-5.978659071640658, 2.006618666800519e-16]
-1:141:[-3.32708192953437, 2.420049873960634e-16]
-1:142:[-5.709604196638899, 4.50695378778166e-16]
-1:143:[-12.308130557721892, 8.463912428601966e-16]
-1:144:[-18.33107489384079, 9.842976436439113e-16]
-1:145:[-12.319763661834026, 1.2792658826519085e-15]
