0:0:[0.20478199143591813, -1.6328131075592008e-18]
0:1:[0.19014827481233992, -1.6708041035845212e-18]
0:2:[0.1364235145207159, -6.87448207278028e-18]
0:3:[-0.1519447890736043, 1.3850246767283658e-17]
0:4:[-0.38401210193846963, 1.1188984343759975e-17]
0:5:[-0.11987139452553368, 3.779703426512928e-18]
0:6:[-0.23950385435103752, 7.140927732542621e-18]
0:7:[0.0670974482352748, 7.171654930600195e-20]
0:8:[0.3085189253136414, 1.4951483500239518e-18]
0:9:[0.5075648306630305, -2.799726055314309e-18]
0:10:[-0.03194913960469013, 1.6847969627837338e-18]
0:11:[-0.2681912025544371, -8.17976891463788e-18]
0:12:[-0.08116002587072857, -2.5878265936022025e-19]
0:13:[-0.3509144067990524, -1.2671408871066203e-17]
0:14:[-0.4058379576305692, -3.2070650086071433e-19]
0:15:[-0.38921346731753187, -1.7957262826789623e-19]
0:16:[0.17005490178043017, 9.320300147221923e-19]
0:17:[0.36376285965097616, -1.1404664901932673e-17]
0:18:[0.21610763905952718, -1.3763483359164546e-17]
0:19:[-0.023771815381846837, 1.5942825173670018e-19]
0:20:[-0.22799632274202353, 1.0501863551218942e-18]
0:21:[0.10289189271082726, -5.762929787785008e-19]
0:22:[0.17221754989901225, -1.2814551937463438e-18]
0:23:[0.1789484736211573, -5.368144360666129e-18]
0:24:[0.41586400176972943, -3.4168922500776183e-18]
0:25:[-0.04211740961653207, 3.266001415892984e-18]
0:26:[-0.3295835230482143, 3.158238712154122e-18]
0:27:[-0.03510041054578643, 7.780871370121083e-19]
0:28:[0.13623864162207844, -6.95228693438383e-18]
0:29:[-0.11193779947661635, 3.6300657624304386e-19]
0:30:[0.2807856316092753, -1.2653712267096549e-17]
0:31:[-0.055762063272586794, 3.1120554369132834e-18]
0:32:[0.058002069852886015, -1.7127093050314058e-18]
0:33:[-0.16845244861283837, -9.232715870935037e-19]
0:34:[-0.3059288557725494, 1.350551436333993e-17]
0:35:[-0.45316978706956607, -3.1725355071054992e-18]
0:36:[-0.03327661572994038, 1.5300765866945416e-19]
0:37:[-0.3376583889091259, 2.4844696937303278e-17]
0:38:[0.1815820423810381, -7.815466544804112e-18]
0:39:[0.2269436694483554, 1.2430169807217105e-18]
0:40:[-0.21140311804875098, 9.702936140081943e-19]
0:41:[0.01491830935301404, -2.6541345163582894e-20]
0:42:[0.025760930709850513, 9.187738991416439e-19]
0:43:[-0.22651868096510808, 1.4269599710364184e-17]
0:44:[0.01609205816902825, 8.105036733944953e-19]
0:45:[-0.2897728605376353, -2.1101145482352874e-19]
0:46:[0.12008586908894538, 5.055903343119964e-19]
0:47:[0.12475247648980504, -4.097454552657598e-18]
0:48:[0.32546928532060226, -1.6425557074357145e-17]
0:49:[0.40390579980175784, -1.4595116131451102e-17]
0:50:[0.10097852612401287, -7.48795179112738e-18]
0:51:[0.11366792504958509, -6.294423710067474e-18]
0:52:[0.3182840917495226, -7.176424244804797e-19]
0:53:[-0.12366387020006854, -8.513564731745064e-19]
0:54:[-0.0908968437701793, 5.319293038233211e-19]
0:55:[-0.19245464790885555, 5.9249236518729575e-18]
0:56:[0.1929396941818657, -1.5774742064552926e-18]
0:57:[0.13093725464062045, -7.088554204706393e-18]
0:58:[0.17540258856519472, -5.840799087289007e-18]
0:59:[-0.10166897461641262, -7.599715706056547e-19]
0:60:[-0.26725300740092595, 5.65491355407837e-18]
0:61:[-0.43051700183252356, 1.3504233255915485e-18]
0:62:[-0.09764305497800535, -1.0006094590840604e-20]
0:63:[-0.27331518723252046, 2.05469231629033e-17]
0:64:[-0.45035010705724243, 2.792439603582138e-17]
0:65:[-0.22013349166589738, -6.6226635827100286e-18]
0:66:[-0.3542234245747812, 3.1769504586749803e-19]
0:67:[-0.11965023886225092, 7.29668695436857e-18]
0:68:[0.04762320828496719, -2.6782830481771002e-19]
0:69:[-0.31574078939193373, 1.2501477438341028e-17]
0:70:[-0.4305864901030636, -1.4015438480005982e-18]
0:71:[-0.10347741162652517, 2.178115886823057e-19]
0:72:[-0.24957269607113025, 8.24561218549412e-18]
0:73:[-0.4269082219384698, 2.8701807386740156e-17]
0:74:[-0.4248275420109882, 1.5313790715077097e-17]
0:75:[0.15108630608032184, 6.429063930474254e-18]
0:76:[0.09843420242319488, -7.46255213072926e-19]
